台番号,機種名,アウト,セーフ,差
510,Lｺﾞｯﾄﾞｲｰﾀｰ ﾘｻﾞﾚｸｼｮﾝ,15342,10659,4683
511,L To LOVEるﾀﾞｰｸﾈｽ,24378,20380,3998
512,Lかぐや様は告らせたい,28608,28325,283
513,LﾓﾝｷｰﾀｰﾝV,23061,22441,620
515,L炎炎ﾉ消防隊,14670,13796,874
516,L聖闘士星矢 海皇覚醒,11271,15421,-4150
517,Lｿﾞﾝﾋﾞﾗﾝﾄﾞｻｶﾞ,13646,14686,-1040
518,L A-SLOT+このすば,7903,8311,-408
577,L防振り,16506,14483,2023
578,L押忍!番長4,4410,4351,59
580,L主役は銭形4,6354,4280,2074
581,L主役は銭形4,8277,6124,2153
582,Lﾊﾞｼﾞﾘｽｸ絆2天膳BLACK,18432,25100,-6668
583,Lﾊﾞｼﾞﾘｽｸ絆2天膳BLACK,5154,4341,813
585,Lｺﾞｼﾞﾗ対ｴｳﾞｧﾝｹﾞﾘｵﾝ,7755,9121,-1366
586,Lｺﾞｼﾞﾗ対ｴｳﾞｧﾝｹﾞﾘｵﾝ,6516,5737,779
587,L真･北斗無双,7305,6424,881
588,L真･北斗無双,13173,11878,1295
600,Lｽﾏｽﾛ北斗,11997,12391,-394
601,Lｽﾏｽﾛ北斗,8199,7126,1073
602,Lｽﾏｽﾛ北斗,3513,3068,445
603,Lｽﾏｽﾛ北斗,11589,11879,-290
605,Lｽﾏｽﾛ北斗,3657,4058,-401
606,Lｽﾏｽﾛ北斗,15342,15934,-592
607,Lｽﾏｽﾛ北斗,6798,8294,-1496
608,Lｽﾏｽﾛ北斗,10788,11324,-536
610,Lｽﾏｽﾛ北斗,2742,2434,308
611,Lｽﾏｽﾛ北斗,9375,11260,-1885
631,L戦国乙女4,12357,12165,192
632,L戦国乙女4,7452,12330,-4878
633,L戦国乙女4,10167,15414,-5247
635,L戦姫絶唱ｼﾝﾌｫｷﾞｱ正義の歌,7311,4875,2436
636,L戦姫絶唱ｼﾝﾌｫｷﾞｱ正義の歌,9351,9115,236
637,L戦姫絶唱ｼﾝﾌｫｷﾞｱ正義の歌,4221,3600,621
638,L戦姫絶唱ｼﾝﾌｫｷﾞｱ正義の歌,4050,2911,1139
650,Lからくりｻｰｶｽ,7149,5006,2143
651,Lからくりｻｰｶｽ,19263,24568,-5305
652,Lからくりｻｰｶｽ,11847,8151,3696
653,Lからくりｻｰｶｽ,1338,1322,16
655,Lからくりｻｰｶｽ,12738,13689,-951
656,Lからくりｻｰｶｽ,249,125,124
657,Lからくりｻｰｶｽ,5163,5848,-685
680,L革命機ｳﾞｧﾙｳﾞﾚｲｳﾞ,7491,6664,827
681,L革命機ｳﾞｧﾙｳﾞﾚｲｳﾞ,1815,1037,778
682,L革命機ｳﾞｧﾙｳﾞﾚｲｳﾞ,1899,935,964
683,L革命機ｳﾞｧﾙｳﾞﾚｲｳﾞ,3003,2540,463
685,L革命機ｳﾞｧﾙｳﾞﾚｲｳﾞ,11535,10243,1292
686,ﾌｧﾝｷｰｼﾞｬｸﾞﾗｰ2KT,21520,20613,907
687,ﾌｧﾝｷｰｼﾞｬｸﾞﾗｰ2KT,9614,9485,129
688,ﾌｧﾝｷｰｼﾞｬｸﾞﾗｰ2KT,15294,14868,426
700,ﾌｧﾝｷｰｼﾞｬｸﾞﾗｰ2KT,15069,14350,719
701,ﾌｧﾝｷｰｼﾞｬｸﾞﾗｰ2KT,6913,6048,865
722,Lｺﾞｰﾙﾃﾞﾝｶﾑｲ,6561,5003,1558
723,Lｷﾝ肉ﾏﾝ 7人の悪魔超人編,3999,2742,1257
725,Lｿｰﾄﾞｱｰﾄ･ｵﾝﾗｲﾝ,4911,3068,1843
726,L忍魂参 奥義皆伝ﾉ章,9816,9098,718
727,Lｷﾝｸﾞﾊﾟﾙｻｰ,6222,4917,1305
728,Lﾏｼﾞｶﾙﾊﾛｳｨﾝ8,14445,14398,47
730,甲鉄城のｶﾊﾞﾈﾘ,2076,1429,647
731,甲鉄城のｶﾊﾞﾈﾘ,0,0,0
732,甲鉄城のｶﾊﾞﾈﾘ,3666,3758,-92
733,ﾃﾞｨｽｸｱｯﾌﾟ2,5459,4872,587
735,新ﾊﾅﾋﾞ,20081,19078,1003
736,交響詩篇ｴｳﾚｶｾﾌﾞﾝTYPE-ART,1159,687,472
737,炎炎ﾉ消防隊,2073,2072,1
738,SｱｲﾑｼﾞｬｸﾞﾗｰEX,21395,22771,-1376
750,SｱｲﾑｼﾞｬｸﾞﾗｰEX,2081,1699,382
751,SｱｲﾑｼﾞｬｸﾞﾗｰEX,13048,14798,-1750
752,SｱｲﾑｼﾞｬｸﾞﾗｰEX,16737,15859,878
753,SｱｲﾑｼﾞｬｸﾞﾗｰEX,3757,2882,875
755,SｱｲﾑｼﾞｬｸﾞﾗｰEX,12617,11674,943
756,SｱｲﾑｼﾞｬｸﾞﾗｰEX,5218,4555,663
757,SｱｲﾑｼﾞｬｸﾞﾗｰEX,6285,5991,294
758,SｱｲﾑｼﾞｬｸﾞﾗｰEX,4283,3729,554
760,SｱｲﾑｼﾞｬｸﾞﾗｰEX,9964,9702,262
761,SｱｲﾑｼﾞｬｸﾞﾗｰEX,5944,5763,181
762,SｱｲﾑｼﾞｬｸﾞﾗｰEX,17009,17018,-9
763,ﾐｽﾀｰｼﾞｬｸﾞﾗｰ,18085,20020,-1935
765,ﾐｽﾀｰｼﾞｬｸﾞﾗｰ,9651,9847,-196
766,ﾐｽﾀｰｼﾞｬｸﾞﾗｰ,14453,13764,689
767,ﾐｽﾀｰｼﾞｬｸﾞﾗｰ,5691,5017,674
768,ﾊｯﾋﾟｰｼﾞｬｸﾞﾗｰVIII,12923,14322,-1399
770,ﾊｯﾋﾟｰｼﾞｬｸﾞﾗｰVIII,20047,21215,-1168
771,ﾊｯﾋﾟｰｼﾞｬｸﾞﾗｰVIII,2706,2312,394
772,ﾊｯﾋﾟｰｼﾞｬｸﾞﾗｰVIII,7239,8208,-969
773,ﾏｲｼﾞｬｸﾞﾗｰV,20999,21182,-183
775,ﾏｲｼﾞｬｸﾞﾗｰV,5568,4763,805
776,ﾏｲｼﾞｬｸﾞﾗｰV,7240,6886,354
777,ﾏｲｼﾞｬｸﾞﾗｰV,6917,6472,445
778,ﾏｲｼﾞｬｸﾞﾗｰV,26902,28262,-1360
780,ﾏｲｼﾞｬｸﾞﾗｰV,7438,7010,428
781,ﾏｲｼﾞｬｸﾞﾗｰV,19752,21463,-1711
782,ﾏｲｼﾞｬｸﾞﾗｰV,13966,15006,-1040
783,ﾏｲｼﾞｬｸﾞﾗｰV,12923,12716,207
785,ﾏｲｼﾞｬｸﾞﾗｰV,17721,17884,-163
786,ﾏｲｼﾞｬｸﾞﾗｰV,10855,10718,137
